iShares Russell 1000 ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"119,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","54,783,617.84","0.13","54,783,617.84","599,252.00","91.42","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","54,656,530.08","0.13","54,656,530.08","115,837.00","471.84","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","54,202,120.96","0.13","54,202,120.96","194,468.00","278.72","United States","NASDAQ","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","53,947,793.92","0.13","53,947,793.92","98,144.00","549.68","United States","NYSE","USD","1.00","USD","-"
"SNPS","SYNOPSYS INC","Information Technology","Equity","53,842,072.90","0.13","53,842,072.90","135,982.00","395.95","United States","NASDAQ","USD","1.00","USD","-"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","53,704,064.07","0.12","53,704,064.07","109,831.00","488.97","Sweden","NYSE","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","53,467,028.28","0.12","53,467,028.28","207,068.00","258.21","United States","NYSE","USD","1.00","USD","-"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","53,055,332.40","0.12","53,055,332.40","922,060.00","57.54","United States","NASDAQ","USD","1.00","USD","-"
"SLB","SLB NV","Energy","Equity","52,845,624.96","0.12","52,845,624.96","1,068,884.00","49.44","United States","NYSE","USD","1.00","USD","-"
"EMR","EMERSON ELECTRIC","Industrials","Equity","52,846,468.80","0.12","52,846,468.80","401,264.00","131.70","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","52,783,242.05","0.12","52,783,242.05","216,245.00","244.09","United States","NYSE","USD","1.00","USD","-"
"MAR","MARRIOTT INTERNATIONAL INC CLASS A","Consumer Discretionary","Equity","52,452,574.39","0.12","52,452,574.39","158,023.00","331.93","United States","NASDAQ","USD","1.00","USD","-"
